timestamp,target_time,hit_time,delta,rating,type
2026-03-09 19:04:01,1970.0,-1,-1,MISS,Gas
2026-03-09 19:04:08,8910.0,8960,50.0,PERFECT!,Brake
2026-03-09 19:04:12,12790.0,12751,-39.0,PERFECT!,Gas
2026-03-09 19:04:14,14760.0,14814,54.0,GOOD,Brake
2026-03-09 19:04:16,17180.0,17266,86.0,GOOD,Gas
2026-03-09 19:04:18,19140.0,19143,3.0,PERFECT!,Brake
2026-03-09 19:04:20,21070.0,-1,-1,TOO EARLY,Gas
2026-03-09 19:04:22,22970.0,22932,-38.0,PERFECT!,Brake
2026-03-09 19:04:24,24440.0,24438,-2.0,PERFECT!,Gas
2026-03-09 19:04:24,24930.0,24885,-45.0,PERFECT!,Brake
2026-03-09 19:04:24,25410.0,-1,-1,TOO EARLY,Gas
2026-03-09 19:04:26,27340.0,27367,27.0,PERFECT!,Brake
2026-03-09 19:04:28,29250.0,29240,-10.0,PERFECT!,Gas
2026-03-09 19:04:31,31710.0,31680,-30.0,PERFECT!,Brake
2026-03-09 19:04:33,34100.0,-1,-1,MISS,Gas
2026-03-09 19:04:35,36030.0,36027,-3.0,PERFECT!,Brake
2026-03-09 19:04:36,36560.0,36546,-14.0,PERFECT!,Gas
2026-03-09 19:04:37,37940.0,37944,4.0,PERFECT!,Brake
2026-03-09 19:04:38,38470.0,38511,41.0,PERFECT!,Gas
2026-03-09 19:04:38,38970.0,38948,-22.0,PERFECT!,Brake
2026-03-09 19:04:38,39470.0,39379,-91.0,GOOD,Gas
2026-03-09 19:04:40,41400.0,41305,-95.0,GOOD,Brake
2026-03-09 19:04:43,43320.0,-1,-1,MISS,Gas
2026-03-09 19:04:44,45230.0,45244,14.0,PERFECT!,Brake
2026-03-09 19:04:46,46710.0,46760,50.0,PERFECT!,Gas
2026-03-09 19:04:48,48600.0,48585,-15.0,PERFECT!,Brake
2026-03-09 19:04:50,50590.0,50594,4.0,PERFECT!,Gas
2026-03-09 19:04:51,52030.0,51942,-88.0,GOOD,Brake
2026-03-09 19:04:52,52990.0,52927,-63.0,GOOD,Brake
2026-03-09 19:04:53,53980.0,53941,-39.0,PERFECT!,Brake
2026-03-09 19:04:54,54940.0,54929,-11.0,PERFECT!,Gas
2026-03-09 19:04:57,57830.0,57824,-6.0,PERFECT!,Brake
2026-03-09 19:05:00,60750.0,60691,-59.0,GOOD,Gas
2026-03-09 19:05:02,62660.0,62643,-17.0,PERFECT!,Brake
2026-03-09 19:05:02,63420.0,63394,-26.0,PERFECT!,Gas
2026-03-09 19:05:03,64250.0,64184,-66.0,GOOD,Brake
2026-03-09 19:05:06,66520.0,66520,0.0,PERFECT!,Gas
2026-03-09 19:05:09,70410.0,70334,-76.0,GOOD,Brake
2026-03-09 19:05:12,73290.0,73296,6.0,PERFECT!,Gas
2026-03-09 19:05:17,78180.0,-1,-1,MISS,Brake
2026-03-09 19:05:21,81960.0,81983,23.0,PERFECT!,Gas
2026-03-09 19:05:22,82800.0,82797,-3.0,PERFECT!,Brake
2026-03-09 19:05:23,83550.0,83514,-36.0,PERFECT!,Gas
2026-03-09 19:05:25,85900.0,85823,-77.0,GOOD,Gas
2026-03-09 19:05:29,89670.0,89737,67.0,GOOD,Gas
2026-03-09 19:05:32,92600.0,92612,12.0,PERFECT!,Brake
2026-03-09 19:05:34,94580.0,94598,18.0,PERFECT!,Gas
2026-03-09 19:05:37,98190.0,-1,-1,MISS,Gas
2026-03-09 19:05:40,100880.0,100866,-14.0,PERFECT!,Brake
2026-03-09 19:05:43,103800.0,103811,11.0,PERFECT!,Gas
2026-03-09 19:05:45,105740.0,105721,-19.0,PERFECT!,Brake
2026-03-09 19:05:46,106720.0,-1,-1,MISS,Gas
2026-03-09 19:05:47,107620.0,-1,-1,MISS,Brake
2026-03-09 19:05:48,108630.0,-1,-1,MISS,Gas
2026-03-09 19:05:51,111540.0,111569,29.0,PERFECT!,Brake
2026-03-09 19:05:52,113440.0,113390,-50.0,PERFECT!,Gas
2026-03-09 19:05:54,114440.0,114433,-7.0,PERFECT!,Gas
2026-03-09 19:05:54,115390.0,115404,14.0,PERFECT!,Gas
2026-03-09 19:05:56,116940.0,116954,14.0,PERFECT!,Brake
2026-03-09 19:05:58,118800.0,118822,22.0,PERFECT!,Brake
2026-03-09 19:06:00,120800.0,120792,-8.0,PERFECT!,Brake
2026-03-09 19:06:02,122620.0,122543,-77.0,GOOD,Brake
2026-03-09 19:06:04,124640.0,124613,-27.0,PERFECT!,Gas
2026-03-09 19:06:06,126510.0,126517,7.0,PERFECT!,Brake
2026-03-09 19:06:08,128500.0,128468,-32.0,PERFECT!,Gas
2026-03-09 19:06:09,130460.00000000001,130420,-40.00000000001455,PERFECT!,Brake
2026-03-09 19:06:10,130940.0,130969,29.0,PERFECT!,Gas
2026-03-09 19:06:10,131390.0,131380,-10.0,PERFECT!,Brake
2026-03-09 19:06:11,131910.0,131783,-127.0,GOOD,Gas
2026-03-09 19:06:13,134310.0,134283,-27.0,PERFECT!,Brake
2026-03-09 19:06:15,136220.0,136225,5.0,PERFECT!,Gas
