timestamp,target_ms,error_ms,rating,pedal
19:14:57,1970,999,MISS,Gas
19:15:04,8910,-31,PERFECT!,Brake
19:15:08,12790,-27,PERFECT!,Gas
19:15:10,14760,-30,PERFECT!,Brake
19:15:12,17180,-42,PERFECT!,Gas
19:15:14,19140,-45,PERFECT!,Brake
19:15:16,21070,-41,PERFECT!,Gas
19:15:18,22970,-14,PERFECT!,Brake
19:15:20,24440,12,PERFECT!,Gas
19:15:20,24930,1,PERFECT!,Brake
19:15:21,25410,-28,PERFECT!,Gas
19:15:23,27340,-37,PERFECT!,Brake
19:15:25,29250,-4,PERFECT!,Gas
19:15:27,31710,-46,PERFECT!,Brake
19:15:29,34100,-39,PERFECT!,Gas
19:15:31,36030,5,PERFECT!,Brake
19:15:32,36560,-81,GOOD,Gas
19:15:33,37940,15,PERFECT!,Brake
19:15:34,38470,-64,GOOD,Gas
19:15:34,38970,17,PERFECT!,Brake
19:15:35,39470,-72,GOOD,Gas
19:15:37,41400,-70,GOOD,Brake
19:15:39,43320,-102,GOOD,Gas
19:15:41,45230,-65,GOOD,Brake
19:15:42,46710,1,PERFECT!,Gas
19:15:44,48600,-13,PERFECT!,Brake
19:15:46,50590,999,MISS,Gas
